"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"3246",1500,"Polovan motor","Suzuki","Sport / Super sport","SRAD 750",1999,70000,750,100,136,4," Manuelni",""," 02.2017.","Domace tablice"," Nije ostecen"
"3252",1700,"Polovan motor","Suzuki","Sport / Super sport","GSX R 600",2001,61000,599,88,120,4," Manuelni"," Crna"," Nije registrovan"," Strane tablice"," Nije ostecen"
"3253",3050,"Polovan motor","Suzuki","Naked","GSF 1200 N Bandit",2003,32700,1157,72,98,4," Manuelni"," Siva"," 07.2017.","Domace tablice"," Nije ostecen"
"3258",980,"Polovan motor","Suzuki","Scooter","Burgman",1998,1,250,18,24,1," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"3273",3700,"Polovan motor","Suzuki","Scooter","Burgman EXECUTIVE",2008,28070,638,40,54,2," Automatski"," Crna"," 02.2017.","Domace tablice"," Nije ostecen"
"3279",4800,"Polovan motor","Suzuki","Enduro / Cross","V Strom 1000",2006,93000,1000,72,98,2," Manuelni"," Siva"," 12.2016.","Domace tablice"," Nije ostecen"
"3302",1700,"Polovan motor","Suzuki","Naked","VX 800",1992,92000,800,45,61,2," Manuelni"," Crna"," 01.2018.","Domace tablice"," Nije ostecen"
"3303",700,"Polovan motor","Suzuki","Enduro / Cross","Ts125",1995,28543,125,10,13,1," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"3310",5000,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000 k7 FIKSNA",2007,35000,999,136,185,4," Manuelni"," Bela"," 05.2017.","Domace tablice"," Nije ostecen"
"3311",7399,"Polovan motor","Suzuki","Enduro / Cross","v strom DL 650 ABS",2014,6300,649,50,68,2," Manuelni"," Bela"," 04.2017.","Domace tablice"," Nije ostecen"
"3315",3350,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2005,39500,600,84,114,4," Manuelni"," Plava"," 08.2017.","Domace tablice"," Nije ostecen"
"3327",2850,"Polovan motor","Suzuki","Sport / Super sport","Gsxr",2004,53000,998,127,173,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3330",1600,"Polovan motor","Suzuki","Naked","gsxr1100w",1996,37000,1098,110,150,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3342",1300,"Polovan motor","Suzuki","Enduro / Cross","xf650",1999,81000,650,36,49,1," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
