"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"293",450,"Polovan motor","Suzuki","Scooter","Katana",2001,1111,49,4,5,1," Automatski"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"305",1500,"Polovan motor","Suzuki","Enduro / Cross","RM",1999,10,125,35,48,1," Manuelni","Zuta"," Nije registrovan"," Strane tablice"," Nije ostecen"
"306",1650,"Polovan motor","Suzuki","Sport / Super sport","GSXR SRAD",1998,54000,600,88,120,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"307",2400,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2001,61000,600,84,114,4," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"336",1600,"Polovan motor","Suzuki","Sport / Super sport","gsxr srad",1997,50000,600,78,106,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"339",2200,"Polovan motor","Suzuki","Scooter","Burgman",2004,44819,400,24,33,1," Automatski"," Crna"," 09.2016.","Domace tablice"," Nije ostecen"
"341",1300,"Polovan motor","Suzuki","Sport / Super sport","gsx 600 f",1992,70000,600,63,86,4," Manuelni"," Crvena"," 04.2017.","Domace tablice"," Nije ostecen"
"342",5550,"Polovan motor","Suzuki","Sport / Super sport","gsx 600 r",2008,28000,600,100,136,NA," Manuelni"," Crvena"," 05.2016.","Domace tablice"," Nije ostecen"
"347",7699,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000 L0",2010,25000,999,136,185,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"352",1100,"Polovan motor","Suzuki","Scooter","burgman",2001,41000,250,17,23,1," Automatski"," Siva"," 09.2017.","Domace tablice"," Nije ostecen"
"362",2590,"Polovan motor","Suzuki","Chopper / Cruiser","intruder600",1997,22000,598,33,45,2," Manuelni"," Tirkiz"," 05.2017.","Domace tablice"," Nije ostecen"
"363",4400,"Polovan motor","Suzuki","Sport / Super sport","GSXR 750",2007,35000,750,111,151,4," Manuelni",""," Nije registrovan","Domace tablice"," Nije ostecen"
"369",1300,"Polovan motor","Suzuki","Sport / Super sport","GSXR1100W",1993,45000,1100,120,163,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"378",3700,"Polovan motor","Suzuki","Naked","GSR 600 HITNO",2009,23000,599,72,98,4," Manuelni"," Srebrna"," 05.2017.","Domace tablice"," Nije ostecen"
"389",1050,"Polovan motor","Suzuki","Sport / Super sport","GSX 600F",1994,35000,597,63,86,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"410",5100,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000 k6",2006,36000,1000,110,150,4," Manuelni"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
"428",750,"Polovan motor","Suzuki","Sport / Super sport","gsx600f",1992,50000,599,63,86,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"430",1550,"Polovan motor","Suzuki","Naked","Bandit Gsf 600N",1998,27000,600,58,79,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"434",800,"Polovan motor","Suzuki","Sport / Super sport","RG 125 F",1996,19493,125,11,15,1," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"457",1100,"Polovan motor","Suzuki","Sport / Super sport","gsx r750",1994,33000,750,84,114,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"464",1850,"Polovan motor","Suzuki","Sport / Super sport","gsxr",1997,55000,600,78,106,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"465",4000,"Polovan motor","Suzuki","Naked","GSF 650 Bandit",2007,20700,656,63,85,4," Manuelni"," Plava"," 08.2017.","Domace tablice"," Nije ostecen"
"503",1150,"Polovan motor","Suzuki","Scooter","Burgman",2002,24000,400,28,38,2," Automatski"," Siva"," 08.2017.","Domace tablice"," Nije ostecen"
"518",6700,"Polovan motor","Suzuki","Sport / Super sport","GSXR600",2009,20000,599,92,125,4," Manuelni"," Crna"," 11.2017.","Domace tablice"," Nije ostecen"
"523",8500,"Polovan motor","Suzuki","Chopper / Cruiser","intruder 1800",2007,25894,1800,125,170,4," Manuelni"," Bela"," 05.2017.","Domace tablice"," Nije ostecen"
"525",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"546",3400,"Polovan motor","Suzuki","Sport / Super sport","GSXR K4",2004,38000,1000,121,165,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"547",1450,"Polovan motor","Suzuki","Sport / Super sport","rf900r",1995,47000,900,99,135,4," Manuelni"," Crvena"," 04.2017.","Domace tablice"," Nije ostecen"
"553",1850,"Polovan motor","Suzuki","Sport / Super sport","Tl 1000 S",1997,40000,1000,92,125,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"563",3500,"Polovan motor","Suzuki","Enduro / Cross","v storm 1000",2004,60000,1000,92,125,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"564",3000,"Polovan motor","Suzuki","Sport / Super sport","K4",2003,42000,600,85,116,4," Manuelni"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
"566",750,"Polovan motor","Suzuki","Sport / Super sport","gsxf",1991,64300,600,66,90,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"574",1500,"Polovan motor","Suzuki","Sport / Super sport","GSXR",1998,52954,750,99,135,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"581",850,"Polovan motor","Suzuki","Enduro / Cross","TS125X",1986,32000,125,29,39,1," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"586",1350,"Polovan motor","Suzuki","Sport / Super sport","GSXR 750 SRAD",1998,54000,749,118,160,4," Manuelni"," Crna"," 08.2017.","Domace tablice"," Nije ostecen"
"589",1099,"Polovan motor","Suzuki","Enduro / Cross","dr 650 RSE",1994,64000,640,27,37,1," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"605",950,"Polovan motor","Suzuki","Chopper / Cruiser","Savage 650",1996,53000,652,23,31,1," Manuelni"," Crvena"," 06.2017.","Domace tablice"," Nije ostecen"
"606",1400,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600 SRAD",1997,35000,600,78,106,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"630",1200,"Polovan motor","Suzuki","Scooter","burgman",2001,35000,40,25,34,2," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"649",2600,"Polovan motor","Suzuki","Sport / Super sport","gsxr 600",2002,15000,600,85,116,4," Manuelni"," Plava"," 01.2017.","Domace tablice"," Nije ostecen"
"663",4200,"Polovan motor","Suzuki","Naked","gsr",2007,42000,600,72,98,4," Manuelni",""," 04.2017.","Domace tablice"," Nije ostecen"
"678",3600,"Polovan motor","Suzuki","Naked","Bandit 650",2005,18277,650,59,80,4," Manuelni"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
"679",2100,"Polovan motor","Suzuki","Naked","SV 650",2003,23973,645,52,70,2," Manuelni"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
"680",1550,"Polovan motor","Suzuki","Sport / Super sport","gsx600f",2001,39500,599,60,82,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"697",2600,"Polovan motor","Suzuki","Naked","sv 650",2007,26300,650,55,75,2," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"707",1250,"Polovan motor","Suzuki","Scooter","Scooter",2002,32000,400,24,33,1," Automatski"," Teget"," 04.2017.","Domace tablice"," Nije ostecen"
"721",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"723",950,"Polovan motor","Suzuki","Enduro / Cross","650 FreeWind",1999,52000,650,35,48,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"724",5150,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000 K6",2006,41250,999,131,178,4," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"725",3100,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2004,34000,750,108,147,4," Manuelni",""," Nije registrovan","Domace tablice"," Nije ostecen"
"729",3450,"Polovan motor","Suzuki","Enduro / Cross","VSTROM 1000",2004,42000,1000,72,98,2," Manuelni"," Teget"," Nije registrovan","Domace tablice"," Nije ostecen"
"745",2700,"Polovan motor","Suzuki","Scooter","burgman 650",2002,59000,638,41,56,2," Automatski"," Srebrna"," 06.2017.","Domace tablice"," Nije ostecen"
"747",9000,"Polovan motor","Suzuki","Chopper / Cruiser","intruder vzr 1800",2009,16500,1784,92,125,2," Manuelni"," Narandžasta"," Nije registrovan","Domace tablice"," Nije ostecen"
"757",2300,"Polovan motor","Suzuki","Enduro / Cross","RMZ450",2008,11,450,44,60,1," Manuelni","Zuta"," Nije registrovan"," Strane tablice"," Nije ostecen"
"762",6999,"Polovan motor","Suzuki","Sport / Super sport","gsxr 1000",2008,21000,999,139,189,4," Manuelni"," Bela"," 06.2017.","Domace tablice"," Nije ostecen"
"766",600,"Polovan motor","Suzuki","Scooter","49CCM/KATANA",2000,12000,49,2,3,1," Automatski"," Siva"," Trajno registrovan","Domace tablice"," Nije ostecen"
"784",2895,"Polovan motor","Suzuki","Chopper / Cruiser","Marauder VZ800",2000,20000,800,39,53,NA," Manuelni"," Zelena"," 06.2017.","Domace tablice"," Nije ostecen"
"786",6800,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2009,10,750,110,150,4," Manuelni"," Crna"," 01.2018.","Domace tablice"," Nije ostecen"
"789",1500,"Polovan motor","Suzuki","Naked","Bandit",1996,35254,400,40,54,4," Manuelni"," Zelena"," 07.2017.","Domace tablice"," Nije ostecen"
"790",1800,"Polovan motor","Suzuki","Sport / Super sport","sv",2003,46000,645,52,71,2," Manuelni"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"798",5800,"Polovan motor","Suzuki","Scooter","BURGMAN",2015,4478,400,24,33,1," Automatski"," Bela"," 05.2017.","Domace tablice"," Nije ostecen"
"803",4600,"Polovan motor","Suzuki","Sport / Super sport","k7",2007,22000,600,63,86,NA," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"811",3650,"Polovan motor","Suzuki","Sport / Super sport","k4",2004,360,1000,125,170,4," Manuelni"," Narandžasta"," 07.2017.","Domace tablice"," Nije ostecen"
"814",2900,"Polovan motor","Suzuki","Sport / Super sport","GSXR K2",2002,36000,599,85,116,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"822",6000,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000 K7",2007,30000,999,136,185,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"832",2500,"Polovan motor","Suzuki","Naked","SV 650",2004,25000,650,65,88,2," Manuelni"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
"833",2350,"Polovan motor","Suzuki","Naked","sv",2003,35871,650,53,72,2," Manuelni"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"835",2950,"Polovan motor","Suzuki","Sport / Super sport","Sv 650",2004,39000,650,51,70,NA," Manuelni","Zuta"," 06.2017.","Domace tablice"," Nije ostecen"
"840",1850,"Polovan motor","Suzuki","Scooter","Burgman",2012,69359,125,18,24,2," Automatski"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"859",3100,"Polovan motor","Suzuki","Naked","GSR 600 K7",2007,45000,600,72,98,4," Manuelni"," Siva"," 02.2017.","Domace tablice"," Nije ostecen"
"865",1500,"Polovan motor","Suzuki","Sport / Super sport","GSXr",1987,50000,1052,72,98,4," Manuelni",""," Nije registrovan","Domace tablice"," Nije ostecen"
"884",3590,"Polovan motor","Suzuki","Enduro / Cross","DL 650 V STROM FI",2005,28000,650,49,67,2," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"905",2200,"Polovan motor","Suzuki","Sport / Super sport","Gsx600r",2003,15544,600,85,116,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"906",4950,"Polovan motor","Suzuki","Chopper / Cruiser","intruder boulevard m800",2006,21000,800,39,53,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"909",230,"Polovan motor","Suzuki","Scooter","seipa 50cc",1995,10000,49,3,4,1," Automatski"," Crna"," 12.2016.","Domace tablice"," Nije ostecen"
"914",800,"Polovan motor","Suzuki","Sport / Super sport","RG 125",1992,50000,125,10,14,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"925",6850,"Polovan motor","Suzuki","Sport / Super sport","gsxr 600 L0",2011,16900,599,95,129,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"945",1100,"Polovan motor","Suzuki","Enduro / Cross","Tsr",1994,28500,124,14,19,1," Manuelni","Zuta"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"949",1350,"Polovan motor","Suzuki","Enduro / Cross","DR",1993,40000,641,34,46,NA," Manuelni"," Plava"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"950",5800,"Polovan motor","Suzuki","Sport / Super sport","GSXR 1000",2007,30580,998,136,185,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"956",3500,"Polovan motor","Suzuki","Naked","gsr 600",2007,40170,600,74,101,4," Manuelni"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"962",1700,"Polovan motor","Suzuki","Naked","sv 650",2002,55000,650,59,80,2," Manuelni"," Srebrna"," Nije registrovan","Domace tablice"," Nije ostecen"
"964",2800,"Polovan motor","Suzuki","Chopper / Cruiser","savage",2003,6800,652,25,33,1," Manuelni"," Crna"," 08.2017.","Domace tablice"," Nije ostecen"
"997",1350,"Polovan motor","Suzuki","Sport / Super sport","GSX R750",1999,39914,750,84,114,NA," Manuelni"," Crna"," 11.2016.","Domace tablice"," Nije ostecen"
"1001",6850,"Polovan motor","Suzuki","Touring","VStrom DL650A",2016,5,650,51,69,2," Manuelni"," Srebrna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1016",3700,"Polovan motor","Suzuki","Scooter","burgman 650 exe",2007,49000,650,41,56,2," Automatski"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1017",2200,"Polovan motor","Suzuki","Scooter","burgman",2004,54500,385,24,32,1," Automatski"," Kameleon"," 05.2017.","Domace tablice"," Nije ostecen"
"1030",8500,"Polovan motor","Suzuki","Chopper / Cruiser","m109r",2009,40500,1799,95,129,2," Manuelni","Zuta"," 07.2017.","Domace tablice"," Nije ostecen"
"1033",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1041",1200,"Polovan motor","Suzuki","Sport / Super sport","GSXR",1998,53000,600,81,110,4," Manuelni"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"1045",2859,"Polovan motor","Suzuki","Scooter","BURGMAN 400",2008,18800,400,23,31,NA," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"1047",700,"Polovan motor","Suzuki","Sport / Super sport","GSX 750",1983,73570,742,58,79,4," Manuelni"," Crvena"," 04.2017.","Domace tablice"," Nije ostecen"
"1052",3699,"Polovan motor","Suzuki","Naked","GSR 600",2008,35500,600,72,98,4," Manuelni"," Crna"," 08.2017.","Domace tablice"," Nije ostecen"
"1068",3500,"Polovan motor","Suzuki","Naked","GSR 600",2008,36000,599,72,98,4," Manuelni"," Plava"," 01.2018.","Domace tablice"," Nije ostecen"
"1070",2250,"Polovan motor","Suzuki","Scooter","Burgman 650",2003,40828,638,41,56,4," Automatski"," Bela"," 05.2017.","Domace tablice"," Nije ostecen"
"1079",3400,"Polovan motor","Suzuki","Naked","GSR 600",2006,28000,600,72,98,4," Manuelni"," Siva"," 12.2017.","Domace tablice"," Nije ostecen"
"1101",2999,"Polovan motor","Suzuki","Scooter","burgman 400",2008,29000,400,25,34,1," Automatski"," Teget"," 06.2017.","Domace tablice"," Nije ostecen"
"1105",990,"Polovan motor","Suzuki","Scooter","Burgman 150",2006,45000,150,10,14,NA," Automatski",""," 06.2017.","Domace tablice"," Nije ostecen"
"1112",5200,"Polovan motor","Suzuki","Touring","v strom",2008,37000,1000,72,98,2," Manuelni"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
"1118",2400,"Polovan motor","Suzuki","Enduro / Cross","DR 350 S Dual Sport",1992,17600,350,22,30,1," Manuelni"," Bela"," Nije registrovan","Domace tablice"," Nije ostecen"
"1135",2150,"Polovan motor","Suzuki","Sport / Super sport","GsxR",2001,57000,600,84,114,4," Manuelni","Zuta"," 05.2017.","Domace tablice"," Nije ostecen"
"1139",1199,"Polovan motor","Suzuki","Sport / Super sport","GsxR 600 SRAD",1998,49856,600,85,116,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1140",3000,"Polovan motor","Suzuki","Touring","V Strom DL 1000",2002,49000,1000,72,98,2," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"1141",750,"Polovan motor","Suzuki","Scooter","epicuro",2001,19000,150,15,20,NA," Automatski"," Siva"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1155",1700,"Polovan motor","Suzuki","Sport / Super sport","tl 1000s",1998,42000,996,91,124,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1163",2800,"Polovan motor","Suzuki","Enduro / Cross","RMZ 250",2008,1,249,31,42,1," Manuelni","Zuta"," 06.2017.","Domace tablice"," Nije ostecen"
"1164",1350,"Polovan motor","Suzuki","Sport / Super sport","gsxr 750",1995,28350,749,94,128,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"1165",1950,"Polovan motor","Suzuki","Sport / Super sport","katana GSXF",1999,20000,750,68,92,2," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"1181",1150,"Polovan motor","Suzuki","Enduro / Cross","Rm",2011,200,85,22,30,1," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"1198",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1202",1750,"Polovan motor","Suzuki","Scooter","Burgman",2005,21000,250,16,22,4," Automatski"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"1220",1650,"Polovan motor","Suzuki","Scooter","SIXTEEN 125 K8",2008,3000,125,11,15,1," Automatski"," Kameleon"," 01.2018.","Domace tablice"," Nije ostecen"
"1228",2200,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2002,43000,600,85,116,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"1267",1050,"Polovan motor","Suzuki","Enduro / Cross","DR",1993,59167,650,32,44,1," Manuelni"," Plava"," 03.2017.","Domace tablice"," Nije ostecen"
"1274",1200,"Polovan motor","Suzuki","Sport / Super sport","RF600R",1995,46000,600,77,105,4," Manuelni"," Plava"," 11.2017.","Domace tablice"," Nije ostecen"
"1278",1050,"Polovan motor","Suzuki","Sport / Super sport","GSXR 750",1995,64000,750,96,130,4," Manuelni"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"1297",1100,"Polovan motor","Suzuki","Naked","Bandit 600 GSF",1997,31463,599,55,75,4," Manuelni"," Crvena"," 04.2017.","Domace tablice"," Nije ostecen"
"1310",2000,"Polovan motor","Suzuki","Touring","GSX 750 F",2000,44000,750,68,92,4," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"1347",1650,"Polovan motor","Suzuki","Sport / Super sport","GSX R Shrad",1998,1,600,81,110,4," Manuelni"," Siva"," 05.2016.","Domace tablice"," Nije ostecen"
"1358",1950,"Polovan motor","Suzuki","Scooter","Burgman",2004,44000,385,24,32,1," Automatski"," Siva"," 04.2017.","Domace tablice"," Nije ostecen"
"1370",1200,"Polovan motor","Suzuki","Enduro / Cross","DR800s",1997,30000,800,29,39,1," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"1372",3400,"Polovan motor","Suzuki","Scooter","Burgman 650",2005,33650,650,41,56,2," Automatski"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"1374",3450,"Polovan motor","Suzuki","Scooter","Burgman",2012,32000,399,25,34,2," Automatski"," Siva"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1382",1750,"Polovan motor","Suzuki","Sport / Super sport","K3",2003,49900,600,74,101,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"1396",5500,"Polovan motor","Suzuki","Sport / Super sport","K7",2008,40000,750,110,150,NA," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"1405",4800,"Polovan motor","Suzuki","Sport / Super sport","gsxr1000",2005,25000,1000,136,184,4," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"1406",2000,"Polovan motor","Suzuki","Scooter","Burgman",2004,10000,650,48,65,2," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"1407",1300,"Polovan motor","Suzuki","Enduro / Cross","DR 650 RSE za Hornet",1991,46000,640,26,35,1," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"1414",2200,"Polovan motor","Suzuki","Naked","GSF 600 BANDIT",2001,30000,600,57,77,4," Manuelni"," Crna"," 06.2017.","Domace tablice"," Nije ostecen"
"1437",1400,"Polovan motor","Suzuki","Sport / Super sport","gsxr",1997,50000,600,85,115,4," Manuelni"," Crna"," 06.2017."," Na ime kupca"," Nije ostecen"
"1439",4000,"Polovan motor","Suzuki","Naked","GSR",2008,4336,600,72,98,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1441",1800,"Polovan motor","Suzuki","Touring","GSXF 750",2001,43993,750,60,82,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1460",1750,"Polovan motor","Suzuki","Sport / Super sport","Gsx600f",2001,30000,600,59,80,NA," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"1471",1650,"Polovan motor","Suzuki","Enduro / Cross","RMZ",2006,1234,250,36,49,NA," Manuelni","Zuta"," Nije registrovan"," Strane tablice"," Nije ostecen"
"1473",500,"Polovan motor","Suzuki","Sport / Super sport","RG125",1986,25000,125,11,15,1," Manuelni",""," Nije registrovan","Domace tablice"," Nije ostecen"
"1480",2650,"Polovan motor","Suzuki","Sport / Super sport","gsxr",2002,27580,1000,125,170,4," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"1481",799,"Polovan motor","Suzuki","Scooter","BURGMAN 250",2000,18000,249,17,23,1," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"1484",1400,"Polovan motor","Suzuki","Scooter","burgman",2002,26000,400,22,30,1," Automatski"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
"1505",9500,"Polovan motor","Suzuki","Enduro / Cross","V strom 1000 NOV",2014,13000,1000,74,101,2," Manuelni"," Crvena"," 04.2017.","Domace tablice"," Nije ostecen"
"1506",1550,"Polovan motor","Suzuki","Enduro / Cross","Freewind 650",1997,58000,650,36,49,1," Manuelni"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"1510",1000,"Polovan motor","Suzuki","Sport / Super sport","GSX 600 FT",1992,77316,600,63,86,4," Manuelni"," Crvena"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1525",1200,"Polovan motor","Suzuki","Scooter","Burgman 400",2000,57000,385,25,34,1," Automatski"," Siva"," Nije registrovan","Domace tablice"," Nije ostecen"
"1529",3800,"Polovan motor","Suzuki","Sport / Super sport","GSXR1000",2004,36000,988,121,164,4," Manuelni"," Plava"," 06.2017.","Domace tablice"," Nije ostecen"
"1546",2000,"Polovan motor","Suzuki","Sport / Super sport","sv 650s",2000,58000,645,51,69,2," Manuelni"," Plava"," 02.2017.","Domace tablice"," Nije ostecen"
"1547",1850,"Polovan motor","Suzuki","Moped","gsx 600f",2002,52650,600,60,82,4," Manuelni"," Crvena"," 05.2017.","Domace tablice"," Nije ostecen"
"1558",5150,"Polovan motor","Suzuki","Sport / Super sport","gsxr 750 K7",2006,58000,750,110,150,4," Manuelni"," Crna"," 08.2017.","Domace tablice"," Nije ostecen"
"1567",1950,"Polovan motor","Suzuki","Sport / Super sport","srad",1999,24000,600,81,110,4," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"1590",6500,"Polovan motor","Suzuki","Sport / Super sport","GSXR600",2010,30158,599,92,125,4," Manuelni"," Crna"," 09.2017.","Domace tablice"," Nije ostecen"
"1597",1500,"Polovan motor","Suzuki","Sport / Super sport","gsxr",1998,50000,600,81,110,4," Manuelni"," Bela"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1602",1200,"Polovan motor","Suzuki","Scooter","BURGMAN",2001,41000,250,17,23,1," Automatski"," Siva"," 07.2017.","Domace tablice"," Nije ostecen"
"1603",3350,"Polovan motor","Suzuki","Scooter","burgman",2009,19500,400,25,34,1," Automatski"," Siva"," 05.2017.","Domace tablice"," Nije ostecen"
"1606",449,"Polovan motor","Suzuki","Scooter","katana",2001,25756,49,2,3,1," Automatski"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
"1617",4400,"Polovan motor","Suzuki","Enduro / Cross","v strom",2005,56000,650,60,82,4," Manuelni",""," 04.2017.","Domace tablice"," Nije ostecen"
"1619",5900,"Polovan motor","Suzuki","Chopper / Cruiser","Intruder VL 1500 C",2006,27500,1462,50,68,2," Manuelni"," Crna"," 09.2017.","Domace tablice"," Nije ostecen"
"1623",2500,"Polovan motor","Suzuki","Sport / Super sport","gsx600f",2007,14000,600,59,80,4," Manuelni"," Plava"," Nije registrovan"," Strane tablice"," Nije ostecen"
"1624",3500,"Polovan motor","Suzuki","Sport / Super sport","Gsxr k4",2004,35000,1000,134,182,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1626",2500,"Polovan motor","Suzuki","Sport / Super sport","K2 1000",2002,28536,1000,125,170,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"1631",800,"Polovan motor","Suzuki","Chopper / Cruiser","Marauder",1998,29000,125,7,10,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1643",1250,"Polovan motor","Suzuki","Enduro / Cross","DR 650",1992,67000,650,35,48,1," Manuelni"," Bela"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"1655",2900,"Polovan motor","Suzuki","Sport / Super sport","GSXR K2",2002,36000,600,88,120,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"1690",5000,"Polovan motor","Suzuki","Chopper / Cruiser","Intruder 800",2008,35000,800,39,53,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"1696",750,"Polovan motor","Suzuki","Touring","GSX 550 EF",1987,41238,572,47,64,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
