6.490 €,Nov motor,Ostalo,Scooter,Quadro 3,2015. godište,0 km,Kubikaža (cm3) 346,Snaga (kW/KS) 22/30,Broj cilindara 1,Menjač Automatski,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
8.180 €,Nov motor,Kawasaki,Chopper / Cruiser,Vulcan 900,2016. godište,0 km,Kubikaža (cm3) 903,Snaga (kW/KS) 35/48,Broj cilindara 4,Menjač Manuelni,Boja Siva,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
899 €,Nov motor,Peda,Moped,Thunder model 2017,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 2/3,Broj cilindara 1,Menjač Automatski,Boja Crna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.890 €,Polovan motor,Honda,Sport / Super sport,CBF 1000 ABS FI,2007. godište,37.000 km,Kubikaža (cm3) 1000,Snaga (kW/KS) 72/98,Broj cilindara 4,Menjač Manuelni,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.190 €,Polovan motor,Honda,Sport / Super sport,CBR 1100 XX FI CBS,2003. godište,37.000 km,Kubikaža (cm3) 1100,Snaga (kW/KS) 112/152,Broj cilindara 4,Menjač Manuelni,Boja Crvena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
2.990 €,Polovan motor,Kawasaki,Sport / Super sport,NINJA 250 R SPEC. EDITION,2009. godište,21.000 km,Kubikaža (cm3) 250,Snaga (kW/KS) 24/33,Broj cilindara 2,Menjač Manuelni,Boja Zelena,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
4.499 €,Polovan motor,Yamaha,Scooter,Majesty 400 cc Automatic,2012. godište,25.980 km,Kubikaža (cm3) 395,Snaga (kW/KS) 25/34,Broj cilindara 1,Menjač Automatski,Boja Crna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
15.800 €,Polovan motor,BMW,Touring,K1600 GT,2013. godište,39.000 km,Kubikaža (cm3) 1600,Snaga (kW/KS) 118/160,Broj cilindara 6,Menjač Manuelni,Boja Bela,Registrovan do 01.2018.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
11.855 €,Nov motor,Kawasaki,Naked,Z1000,2017. godište,0 km,Kubikaža (cm3) 1043,Snaga (kW/KS) 104/142,Broj cilindara 4,Menjač Manuelni,Boja Crna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
7.850 €,Nov motor,Yamaha,Enduro / Cross,XTZ660 mini tenere,2017. godište,0 km,Kubikaža (cm3) 660,Snaga (kW/KS) 36/49,Broj cilindara 1,Menjač Manuelni,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
