Cena,Stanje,Tip,Godiste,Kilometraza,Kubikaza,kW,KS,BrojCilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
800,Polovan motor,Scooter,2010,2416,49,2,3,1, Automatski, Crna, Trajno registrovan,Domace tablice, Nije ostecen
2700,Polovan motor,Chopper / Cruiser,1992,32141,1100,45,61,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Sport / Super sport,1997,67000,919,91,124,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
2500,Polovan motor,Enduro / Cross,2008,92,450,46,63,1, Manuelni, Zelena, Nije registrovan, Strane tablice, Nije ostecen
2150,Polovan motor,Sport / Super sport,2001,57000,600,84,114,4, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
65,Polovan motor,Sport / Super sport,2010,2224,2,2,3,, Manuelni,, Registrovan, Na ime kupca, Nije ostecen
8480,Polovan motor,Scooter,2015,8000,530,34,46,2, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
9390,Nov motor,Naked,2017,0,847,85,116,3, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
1199,Polovan motor,Sport / Super sport,1998,49856,600,85,116,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
3000,Polovan motor,Touring,2002,49000,1000,72,98,2, Manuelni,Zuta, Nije registrovan,Domace tablice, Nije ostecen
750,Polovan motor,Scooter,2001,19000,150,15,20,, Automatski, Siva, Nije registrovan, Na ime kupca, Nije ostecen
2400,Polovan motor,Supermoto,2008,3200,125,11,15,3, Manuelni, Bela, Registrovan, Na ime kupca, Nije ostecen
10500,Polovan motor,Naked,2014,6700,798,92,125,3, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
650,Polovan motor,Enduro / Cross,2010,200,125,10,14,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
15000,Polovan motor,Sport / Super sport,2013,13000,1199,143,194,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1399,Polovan motor,Supermoto,2017,1,125,8,11,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
3600,Polovan motor,Scooter,2014,13200,300,19,26,1, Automatski, Bela, Registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Scooter,2004,25000,459,28,38,2, Automatski, Srebrna, Nije registrovan, Strane tablice, Nije ostecen
14200,Polovan motor,Enduro / Cross,2012,11027,1170,81,110,2, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
1750,Polovan motor,Scooter,2008,4000,50,7,9,1, Automatski, Crna, Trajno registrovan,Domace tablice, Nije ostecen
1600,Polovan motor,Naked,2003,60000,500,37,50,2, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
14290,Polovan motor,Chopper / Cruiser,1997,20500,1520,75,102,6, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
1350,Polovan motor,Scooter,2006,8500,150,9,12,1, Automatski, Crvena, Registrovan,Domace tablice, Nije ostecen
380,Polovan motor,Scooter,2003,111111,150,9,12,1, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
1700,Polovan motor,Sport / Super sport,1998,42000,996,91,124,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Sport / Super sport,1988,16500,643,43,58,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
11855,Nov motor,Naked,2017,0,1043,104,142,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
8495,Nov motor,Naked,2017,0,948,92,125,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
440,Polovan motor,Scooter,2009,6443,49,3,4,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
5200,Polovan motor,Sport / Super sport,2007,18000,998,126,171,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
1450,Polovan motor,Enduro / Cross,1998,19085,125,9,13,1, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
2100,Polovan motor,Enduro / Cross,1996,60000,850,25,34,2, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
2800,Polovan motor,Enduro / Cross,2008,1,249,31,42,1, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
1350,Polovan motor,Sport / Super sport,1995,28350,749,94,128,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1950,Polovan motor,Sport / Super sport,1999,20000,750,68,92,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Enduro / Cross,1998,40500,660,34,46,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
550,Polovan motor,Scooter,1992,44925,124,8,11,, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
1200,Polovan motor,Moped,2011,10000,125,8,11,1, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
6800,Polovan motor,Sport / Super sport,2008,26000,998,134,182,, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
550,Polovan motor,Scooter,2010,7000,49,4,5,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
17500,Polovan motor,Naked,2015,7000,1198,91,124,2, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
320,Polovan motor,Scooter,2007,9500,49,3,4,1, Automatski, Siva, Trajno registrovan,Domace tablice, Nije ostecen
950,Polovan motor,Enduro / Cross,1986,468102,200,20,27,1, Manuelni, Narandžasta, Registrovan,Domace tablice, Nije ostecen
2950,Polovan motor,Enduro / Cross,2003,50000,650,38,52,2, Manuelni, Siva, Nije registrovan,Domace tablice, Nije ostecen
1000,Polovan motor,Sport / Super sport,1996,60000,600,72,98,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
2811,Nov motor,Scooter,2017,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Scooter,2016,0,125,9,12,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
1900,Polovan motor,Scooter,2013,2400,249,16,22,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
2500,Polovan motor,Sport / Super sport,2002,37000,998,78,106,2, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Sport / Super sport,1991,40000,747,77,105,4, Manuelni, Siva, Nije registrovan,Domace tablice, Nije ostecen
1150,Polovan motor,Enduro / Cross,2011,200,85,22,30,1, Manuelni,Zuta, Nije registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Scooter,2007,1234,49,1,2,1, Automatski, Bela, Trajno registrovan,Domace tablice, Nije ostecen
4000,Polovan motor,Moped,1988,2222,49,3,4,1, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
450,Polovan motor,Moped,2003,10000,49,2,3,1, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
1000,Polovan motor,Moped,1982,3684,49,3,4,1, Manuelni, Siva, Trajno registrovan,Domace tablice, Nije ostecen
100,Polovan motor,Moped,1987,5000,49,3,4,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
4200,Polovan motor,Sport / Super sport,2003,95000,599,88,120,4, Manuelni,, Registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Touring,1993,67000,1200,92,125,4, Manuelni,, Registrovan,Domace tablice, Nije ostecen
370,Polovan motor,Scooter,2009,3000,49,2,3,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
900,Polovan motor,Sport / Super sport,1992,70000,600,55,75,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
4999,Polovan motor,Sport / Super sport,2006,32000,999,127,173,4, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Scooter,2000,16000,49,4,5,1, Automatski, Narandžasta, Registrovan,Domace tablice, Nije ostecen
2199,Polovan motor,Sport / Super sport,2000,219873,600,86,117,4, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
3400,Polovan motor,Naked,2007,51416,600,57,77,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
480,Polovan motor,Scooter,2002,12369,49,2,3,, Automatski, Bordo, Registrovan,Domace tablice, Nije ostecen
450,Polovan motor,Enduro / Cross,2008,5000,125,7,10,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
3150,Nov motor,Scooter,2016,0,125,9,12,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
4450,Polovan motor,Chopper / Cruiser,2006,3753,805,39,53,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
1050,Polovan motor,Touring,1987,62000,748,38,52,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
3000,Polovan motor,Sport / Super sport,2003,22000,600,92,125,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Scooter,2008,21751,49,2,3,1, Automatski, Crvena, Registrovan, Na ime kupca, Nije ostecen
1750,Polovan motor,Scooter,2005,21000,250,16,22,4, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
4400,Polovan motor,Naked,2013,45608,649,53,72,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
650,Polovan motor,Scooter,2006,6400,49,3,4,1, Automatski, Srebrna, Nije registrovan, Strane tablice, Nije ostecen
1650,Polovan motor,Touring,1990,82000,1100,73,99,4, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
2350,Polovan motor,Supermoto,2005,385650,660,39,53,1, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
2300,Polovan motor,Scooter,2006,22000,125,11,15,1, Automatski, Bordo, Registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Enduro / Cross,2010,15265,125,10,14,1, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Scooter,2002,1,150,14,19,1, Automatski, Kameleon, Registrovan,Domace tablice, Nije ostecen
3000,Polovan motor,Naked,2005,40000,750,81,110,, Manuelni, Zelena, Registrovan,Domace tablice, Nije ostecen
110,Polovan motor,Moped,1983,500,49,3,4,1, Manuelni, Siva, Trajno registrovan,Domace tablice, Nije ostecen
6500,Polovan motor,Chopper / Cruiser,1997,19860,1340,45,61,2, Manuelni, Crna, Nije registrovan, Strane tablice, Nije ostecen
1500,Polovan motor,Scooter,2008,20000,124,11,15,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
599,Polovan motor,Naked,2007,1111,149,9,12,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
350,Polovan motor,Moped,1989,5485,49,1,1,1, Automatski, Siva, Trajno registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Supermoto,1990,57000,600,61,83,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3150,Nov motor,Scooter,2016,0,125,9,12,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
500,Polovan motor,Scooter,2007,19000,149,6,8,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
450,Polovan motor,Enduro / Cross,1990,10000,49,7,10,1, Manuelni, Plava, Trajno registrovan,Domace tablice, Nije ostecen
1650,Polovan motor,Scooter,2008,3000,125,11,15,1, Automatski, Kameleon, Registrovan,Domace tablice, Nije ostecen
1500,Polovan motor,Enduro / Cross,2009,13000,50,2,3,1, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Scooter,2005,39852,300,25,34,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
1500,Polovan motor,Chopper / Cruiser,2002,20000,175,11,15,1, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
79,Polovan motor,Moped,1984,9999,49,2,3,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
150,Polovan motor,Moped,1977,10000,49,3,4,1, Manuelni, Plava, Trajno registrovan,Domace tablice, Nije ostecen
1000,Polovan motor,Sport / Super sport,1995,30000,593,57,77,, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Scooter,2002,14800,50,5,7,, Automatski,, Trajno registrovan,Domace tablice, Nije ostecen
2200,Polovan motor,Sport / Super sport,2002,43000,600,85,116,, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
750,Polovan motor,Chopper / Cruiser,1996,11900,125,9,12,1, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
700,Polovan motor,Sport / Super sport,1987,70000,750,66,90,4, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
6000,Polovan motor,Scooter,2012,20400,500,30,41,4, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Sport / Super sport,2001,60000,929,112,152,4, Manuelni, Narandžasta, Registrovan,Domace tablice, Nije ostecen
7450,Polovan motor,Touring,2003,28681,1171,96,131,4, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
3890,Polovan motor,Chopper / Cruiser,2006,15000,750,49,67,4, Manuelni,Bez, Registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Sport / Super sport,1998,16000,125,18,24,1, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
315,Polovan motor,Scooter,2000,19000,49,3,4,1, Automatski, Narandžasta, Registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Enduro / Cross,1996,1,125,11,15,, Manuelni, Zelena, Nije registrovan,Domace tablice, Nije ostecen
1150,Polovan motor,Supermoto,2007,4844,50,4,5,, Manuelni,, Nije registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Scooter,2008,45000,149,9,12,, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
2500,Polovan motor,Scooter,2007,26000,249,16,22,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
25999,Nov motor,Touring,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
600,Nov motor,Enduro / Cross,2017,0,200,17,23,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
400,Polovan motor,Enduro / Cross,1988,15000,250,18,24,1, Manuelni, Crvena, Nije registrovan, Strane tablice, Nije ostecen
3500,Polovan motor,Scooter,2013,10700,250,16,22,1, Automatski, Bela, Registrovan,Domace tablice, Nije ostecen
2700,Polovan motor,Sport / Super sport,2000,38000,599,81,110,4, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
220,Polovan motor,Mini bike (pocket bike),2016,1,40,1,1,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
950,Polovan motor,Chopper / Cruiser,1980,30000,500,37,50,1, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
3800,Polovan motor,Supermoto,2008,14000,660,34,46,1, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Scooter,2011,20000,49,33,45,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Oldtimer,1961,25000,175,9,12,1, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Scooter,1989,35000,125,8,11,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Enduro / Cross,2007,10000,200,11,15,1, Manuelni,, Registrovan,Domace tablice, Nije ostecen
1660,Polovan motor,Enduro / Cross,2010,2723,50,2,3,1, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1950,Polovan motor,Sport / Super sport,2008,16120,124,10,14,, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
1699,Polovan motor,Scooter,2006,15000,125,11,15,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
2400,Polovan motor,Naked,2002,48940,600,72,98,, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Sport / Super sport,1997,34816,660,35,48,1, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
489,Polovan motor,Scooter,1999,20000,49,3,4,1, Automatski, Plava, Nije registrovan,Domace tablice, Nije ostecen
2300,Polovan motor,Sport / Super sport,2000,40642,599,79,107,4, Manuelni,Zuta, Registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Scooter,1999,800,70,8,11,, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
2700,Polovan motor,Enduro / Cross,2000,56000,650,39,53,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
9390,Nov motor,Naked,2017,0,847,85,116,3, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Scooter,2016,0,125,9,12,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
1150,Polovan motor,Naked,1992,12000,251,20,27,1, Manuelni, Siva, Nije registrovan,Domace tablice, Nije ostecen
1600,Polovan motor,Supermoto,2004,30000,125,11,15,1, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
200,Polovan motor,Moped,1981,1,49,1,1,1, Automatski, Plava, Trajno registrovan,Domace tablice, Nije ostecen
1050,Polovan motor,Enduro / Cross,1993,59167,650,32,44,1, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
1250,Polovan motor,Sport / Super sport,1994,45000,500,44,60,2, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
150,Polovan motor,Moped,1985,1000,49,3,4,1, Manuelni, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
999,Polovan motor,Sport / Super sport,1997,39600,600,76,103,4, Manuelni,Zuta, Nije registrovan,Domace tablice, Nije ostecen
2650,Polovan motor,Touring,1999,41000,782,34,46,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
950,Polovan motor,Oldtimer,1975,200,150,9,12,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
300,Polovan motor,Scooter,2000,22000,150,13,18,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
1200,Polovan motor,Sport / Super sport,1995,46000,600,77,105,4, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
4600,Polovan motor,Supermoto,2006,27000,950,72,98,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Sport / Super sport,1989,611100,600,63,86,, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
2690,Polovan motor,Sport / Super sport,2000,70000,1000,100,136,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1050,Polovan motor,Sport / Super sport,1995,64000,750,96,130,4, Manuelni, Siva, Nije registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Scooter,2002,64000,250,16,22,1, Automatski,, Registrovan,Domace tablice, Nije ostecen
1080,Nov motor,Scooter,2017,0,49,3,3,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
2500,Polovan motor,Scooter,2009,22460,250,17,23,, Automatski, Srebrna, Registrovan,Domace tablice, Nije ostecen
15000,Polovan motor,Chopper / Cruiser,2012,20000,1600,50,68,, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
350,Polovan motor,Enduro / Cross,2013,111,125,7,10,1, Manuelni, Zelena, Nije registrovan, Strane tablice, Nije ostecen
3000,Polovan motor,Touring,2000,40000,850,63,86,2, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
550,Polovan motor,Supermoto,1994,1234,125,23,31,1, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
899,Polovan motor,Sport / Super sport,1996,67000,600,77,105,4, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
420,Polovan motor,Scooter,2009,13000,49,3,4,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
220,Polovan motor,Moped,1986,1000,49,5,7,, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
750,Polovan motor,Scooter,2004,17300,149,10,14,1, Automatski, Siva, Nije registrovan, Na ime kupca, Nije ostecen
280,Polovan motor,Moped,2004,100,125,5,7,1, Automatski,Zuta, Nije registrovan,Domace tablice, ostecen - u voznom stanju
890,Polovan motor,Enduro / Cross,2001,10000,50,2,3,1, Manuelni, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
1000,Polovan motor,Sport / Super sport,1994,43000,600,32,44,4, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
6000,Polovan motor,Chopper / Cruiser,2006,38000,1600,50,68,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Scooter,2001,26090,49,3,4,, Automatski, Bela, Trajno registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Scooter,2007,20000,49,4,5,1, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
1500,Polovan motor,Enduro / Cross,1994,55540,659,35,48,1, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Naked,1997,31463,599,55,75,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
1700,Polovan motor,Sport / Super sport,1995,54000,600,78,106,, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
5950,Polovan motor,Sport / Super sport,2011,18300,600,75,102,, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Scooter,2000,17000,125,7,10,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
2500,Polovan motor,Touring,1992,72000,800,44,60,2, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
3950,Polovan motor,Naked,2003,25000,919,80,109,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
5950,Nov motor,Scooter,2016,0,330,25,33,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
18000,Polovan motor,Chopper / Cruiser,2004,7700,1700,48,65,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1350,Polovan motor,Touring,1992,31600,850,26,35,2, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
1000,Polovan motor,Scooter,2004,42000,300,16,22,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
4999,Polovan motor,Naked,2010,8800,899,88,120,3, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
3350,Polovan motor,Chopper / Cruiser,1998,43000,800,41,56,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
550,Polovan motor,Scooter,2002,13000,49,2,3,1, Automatski, Plava, Trajno registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Touring,2000,44000,750,68,92,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1000,Polovan motor,Scooter,2004,27800,100,5,7,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
1700,Polovan motor,Sport / Super sport,1999,66000,599,72,98,4, Manuelni,, Registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Sport / Super sport,1987,41500,600,55,75,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Scooter,2004,20000,49,4,5,1, Automatski, Siva, Trajno registrovan,Domace tablice, Nije ostecen
3600,Polovan motor,Touring,1999,60000,1100,115,156,, Manuelni,, Registrovan,Domace tablice, Nije ostecen
330,Polovan motor,Enduro / Cross,2000,150000,50,2,3,, Manuelni, Plava, Trajno registrovan,Domace tablice, Nije ostecen
2250,Polovan motor,Sport / Super sport,2000,38000,600,88,120,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
2750,Polovan motor,Sport / Super sport,1999,40000,1100,120,163,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
790,Polovan motor,Scooter,2001,50000,180,14,19,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
390,Polovan motor,Scooter,2000,10215,49,3,4,, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Scooter,2007,13721,125,6,9,1, Automatski, Bela, Registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Scooter,2007,26000,125,6,8,, Automatski, Plava, Registrovan,Domace tablice, Nije ostecen
8480,Polovan motor,Scooter,2015,8000,530,34,46,2, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
570,Polovan motor,Enduro / Cross,2009,7500,80,6,8,, Manuelni, Crna, Trajno registrovan,Domace tablice, Nije ostecen
6000,Polovan motor,Sport / Super sport,2006,55600,1200,123,167,4, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
270,Polovan motor,Moped,1979,222,49,6,8,1, Automatski,Zuta, Trajno registrovan,Domace tablice, Nije ostecen
3300,Polovan motor,Naked,2006,24000,660,36,49,1, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
3199,Polovan motor,Scooter,2012,19000,300,17,23,, Automatski,Bez, Nije registrovan, Na ime kupca, Nije ostecen
550,Polovan motor,Scooter,2008,3100,50,2,3,, Automatski, Plava, Trajno registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Scooter,2009,500,149,7,10,2, Automatski, Narandžasta, Nije registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Scooter,2002,18000,125,10,14,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Scooter,2004,30000,125,10,14,, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
330,Polovan motor,Moped,1991,1111,49,2,3,1, Automatski, Zelena, Nije registrovan,Domace tablice, Nije ostecen
2600,Polovan motor,Supermoto,2005,17000,640,52,71,1, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1350,Polovan motor,Supermoto,1991,50000,600,79,107,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
950,Polovan motor,Scooter,2002,17000,152,10,13,1, Automatski, Plava, Registrovan,Domace tablice, Nije ostecen
4000,Polovan motor,Sport / Super sport,2002,20000,1200,131,178,4, Manuelni, Zelena, Registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Scooter,1998,23000,150,150,204,, Automatski,, Nije registrovan,Domace tablice, Nije ostecen
699,Polovan motor,Scooter,2016,1600,49,3,4,1, Automatski, Bela, Registrovan,Domace tablice, Nije ostecen
1050,Polovan motor,Scooter,2002,25890,200,14,19,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
850,Polovan motor,Sport / Super sport,1989,83000,600,63,86,4, Manuelni, Teget, Registrovan,Domace tablice, Nije ostecen
250,Polovan motor,Moped,1971,120,49,3,4,1, Manuelni,Zuta, Trajno registrovan,Domace tablice, Nije ostecen
700,Polovan motor,Scooter,2008,24000,49,2,3,1, Automatski, Crna, Trajno registrovan,Domace tablice, Nije ostecen
260,Polovan motor,Moped,1980,5000,49,2,3,1, Manuelni,, Registrovan,Domace tablice, Nije ostecen
5700,Polovan motor,Touring,2004,78500,1170,74,101,2, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Enduro / Cross,1995,30000,125,8,11,, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1650,Polovan motor,Sport / Super sport,1998,1,600,81,110,4, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
850,Polovan motor,Chopper / Cruiser,2011,5000,125,9,12,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
3500,Polovan motor,Chopper / Cruiser,2001,5981,750,36,49,2, Manuelni, Bordo, Nije registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Sport / Super sport,1995,25000,125,12,16,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1800,Polovan motor,Touring,1988,969922,1000,66,90,4, Manuelni, Srebrna, Nije registrovan, Na ime kupca, Nije ostecen
2000,Polovan motor,Touring,1999,45000,599,74,101,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Sport / Super sport,1989,40000,750,103,140,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
5950,Polovan motor,Touring,2012,10500,650,35,48,1, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
