Cena,Stanje,Tip,Godiste,Kilometraza,Kubikaza,kW,KS,BrojCilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
2299,Nov motor,Scooter,2014,0,49,4,5,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3400,Polovan motor,Touring,1996,77000,1085,72,98,4, Manuelni, Bordo, Registrovan,Domace tablice, Nije ostecen
1950,Polovan motor,Scooter,2002,40000,498,33,45,2, Automatski, Srebrna, Nije registrovan, Na ime kupca, Nije ostecen
1450,Polovan motor,Scooter,2006,34000,244,15,20,1, Automatski, Srebrna, Registrovan,Domace tablice, Nije ostecen
7900,Polovan motor,Touring,2010,40626,1237,127,173,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
3400,Polovan motor,Touring,2007,26800,649,53,72,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
4700,Polovan motor,Touring,2004,63000,1300,106,143,4, Manuelni, Crna, Registrovan, Strane tablice, Nije ostecen
1790,Nov motor,Scooter,2016,0,49,3,4,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
2220,Nov motor,Scooter,2016,0,49,4,5,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
1540,Nov motor,Scooter,2016,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
1540,Nov motor,Scooter,2016,0,49,3,4,1, Automatski, Braon, Nije registrovan, Na ime kupca, Nije ostecen
2800,Polovan motor,Naked,2001,33000,750,56,76,4, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
8940,Nov motor,Naked,2017,0,399,30,41,2, Manuelni, Narandžasta, Nije registrovan, Na ime kupca, Nije ostecen
9940,Nov motor,Naked,2017,0,803,55,75,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
14590,Nov motor,Naked,2017,0,1198,110,150,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
24990,Nov motor,Touring,2017,0,1198,118,160,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
12990,Nov motor,Supermoto,2017,0,937,83,113,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
14890,Nov motor,Sport / Super sport,2017,0,937,83,113,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
13990,Nov motor,Touring,2017,0,937,83,113,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
25999,Nov motor,Touring,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
28000,Polovan motor,Sport / Super sport,2013,1500,1199,135,184,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3390,Nov motor,Scooter,2017,0,150,11,15,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
3350,Nov motor,Scooter,2016,0,155,11,15,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
4850,Nov motor,Scooter,2016,0,278,16,22,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Scooter,2016,0,125,9,12,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
17499,Nov motor,Enduro / Cross,2016,0,1197,92,125,2, Manuelni,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
2750,Nov motor,Scooter,2016,0,124,8,11,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
10499,Nov motor,Scooter,2016,0,124,8,11,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
4999,Nov motor,Scooter,2016,0,278,16,22,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
7840,Nov motor,Scooter,2016,0,278,17,23,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
8740,Nov motor,Scooter,2016,0,493,29,40,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
10200,Nov motor,Naked,2016,0,803,55,75,2, Manuelni,Zuta, Nije registrovan,Domace tablice, Nije ostecen
9340,Nov motor,Naked,2017,0,803,55,75,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
2299,Nov motor,Scooter,2013,0,49,3,4,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
20900,Nov motor,Touring,2016,0,1198,118,160,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
2811,Nov motor,Scooter,2017,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
7850,Nov motor,Enduro / Cross,2017,0,349,25,34,1, Manuelni, Bela, Nije registrovan, Na ime kupca, Nije ostecen
1099,Nov motor,Scooter,2016,0,49,3,4,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Scooter,2016,0,125,9,12,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
7573,Nov motor,Touring,2017,0,649,51,69,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
14300,Nov motor,Naked,2017,0,998,125,170,4, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
21900,Nov motor,Chopper / Cruiser,2016,0,1262,115,156,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
5040,Nov motor,Naked,2016,0,296,29,39,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
5100,Nov motor,Naked,2017,0,124,11,15,1, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
4140,Nov motor,Scooter,2017,0,125,8,11,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
19700,Nov motor,Sport / Super sport,2017,0,998,147,200,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
1490,Polovan motor,Scooter,2006,27000,398,23,31,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
850,Polovan motor,Scooter,2006,35600,251,15,20,1, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
4100,Polovan motor,Naked,2008,16000,750,70,95,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
3300,Polovan motor,Enduro / Cross,2012,160,310,30,41,1, Manuelni,, Nije registrovan, Strane tablice, Nije ostecen
390,Polovan motor,Scooter,2001,6000,49,2,3,1, Automatski, Siva, Trajno registrovan,Domace tablice, Nije ostecen
930,Polovan motor,Scooter,2003,23456,200,15,20,1, Automatski,, Registrovan,Domace tablice, Nije ostecen
1500,Polovan motor,Scooter,2008,22812,125,11,15,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Sport / Super sport,1999,46264,599,78,106,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
600,Nov motor,Enduro / Cross,2017,0,200,17,23,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
3800,Polovan motor,Naked,2007,18431,600,57,77,4, Manuelni, Siva, Registrovan,Domace tablice, Nije ostecen
7950,Polovan motor,Touring,2013,6000,800,66,90,2, Manuelni, Narandžasta, Nije registrovan, Na ime kupca, Nije ostecen
3300,Polovan motor,Touring,2002,59814,1165,112,152,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
4800,Polovan motor,Touring,2008,81573,782,80,109,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
6500,Polovan motor,Touring,2006,59342,1157,123,167,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
4550,Polovan motor,Chopper / Cruiser,2004,30000,749,33,45,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
780,Polovan motor,Moped,2009,3500,49,4,5,1, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
7800,Polovan motor,Scooter,2012,8300,530,34,46,, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
1000,Polovan motor,Scooter,2011,8500,49,3,4,1, Automatski, Teget, Nije registrovan, Na ime kupca, Nije ostecen
5900,Polovan motor,Scooter,2014,5200,400,27,37,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
1090,Polovan motor,Scooter,2006,30000,249,15,20,1, Automatski, Srebrna, Registrovan,Domace tablice, Nije ostecen
17200,Nov motor,Enduro / Cross,2016,0,1170,92,125,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
2650,Polovan motor,Scooter,2008,17000,250,16,22,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
2990,Nov motor,Scooter,2016,0,125,9,12,1, Automatski, Braon, Nije registrovan, Na ime kupca, Nije ostecen
3700,Polovan motor,Sport / Super sport,2002,48560,1300,130,177,4, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
1850,Polovan motor,Scooter,2007,37400,459,28,38,2, Automatski, Siva, Registrovan,Domace tablice, Nije ostecen
4650,Polovan motor,Chopper / Cruiser,2007,8403,649,29,39,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
3000,Polovan motor,Chopper / Cruiser,2004,55000,600,29,39,2, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
2650,Polovan motor,Scooter,2008,14300,244,17,23,1, Automatski, Plava, Registrovan,Domace tablice, Nije ostecen
25999,Nov motor,Touring,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
4490,Nov motor,Scooter,2016,0,124,8,11,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
8900,Nov motor,Scooter,2017,0,493,29,40,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
25999,Nov motor,Touring,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
18990,Nov motor,Touring,2017,0,1198,118,160,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
9990,Nov motor,Naked,2016,0,821,82,112,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
9500,Nov motor,Enduro / Cross,2016,0,803,55,75,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
10450,Nov motor,Naked,2017,0,847,85,116,3, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
5570,Nov motor,Sport / Super sport,2017,0,125,11,15,1, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
20199,Nov motor,Naked,2016,0,1330,85,116,3, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
4990,Nov motor,Scooter,2017,0,249,15,20,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
13999,Nov motor,Enduro / Cross,2017,0,1199,83,113,2, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
10800,Nov motor,Touring,2017,0,847,84,114,3, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
10290,Nov motor,Touring,2016,0,847,85,115,3, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
14300,Nov motor,Sport / Super sport,2017,0,599,1,1,4, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
8650,Nov motor,Touring,2017,0,689,55,75,2, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
4850,Nov motor,Sport / Super sport,2016,0,125,11,15,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
630,Polovan motor,Sport / Super sport,1990,40000,750,36,49,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3600,Polovan motor,Sport / Super sport,2007,9511,650,34,46,2, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
2100,Polovan motor,Sport / Super sport,1999,28500,599,79,107,4, Manuelni, Zelena, Registrovan,Domace tablice, Nije ostecen
1690,Polovan motor,Sport / Super sport,1993,51000,600,72,98,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
2990,Polovan motor,Scooter,2011,28000,278,17,23,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
3792,Nov motor,Naked,2016,0,249,21,28,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
2650,Nov motor,Scooter,2016,0,124,8,11,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
5550,Nov motor,Scooter,2017,0,278,16,21,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
10500,Nov motor,Scooter,2016,0,894,56,76,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
2550,Nov motor,Moped,2017,0,49,3,4,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
2650,Nov motor,Moped,2016,0,49,3,4,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
6500,Nov motor,Scooter,2015,0,330,25,33,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
5950,Nov motor,Scooter,2016,0,330,25,33,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
7600,Nov motor,Scooter,2016,0,278,17,23,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
6100,Nov motor,Scooter,2017,0,292,21,28,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
1600,Polovan motor,Enduro / Cross,2002,222,250,47,64,1, Manuelni, Zelena, Nije registrovan,Domace tablice, Nije ostecen
7141,Nov motor,Chopper / Cruiser,2017,0,649,45,61,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
279,Nov motor,Sport / Super sport,2017,0,49,3,4,, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
4496,Nov motor,Scooter,2016,0,300,21,28,1, Automatski, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
3050,Nov motor,Scooter,2016,0,180,11,15,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
650,Polovan motor,Enduro / Cross,2009,200,49,4,5,1, Manuelni, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
500,Polovan motor,Scooter,2008,10200,125,6,8,1, Automatski, Bela, Nije registrovan,Domace tablice, Nije ostecen
11855,Nov motor,Naked,2017,0,1043,104,142,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
17251,Nov motor,Sport / Super sport,2017,0,998,154,210,4, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
4990,Nov motor,Scooter,2017,0,249,15,20,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
2850,Polovan motor,Scooter,2010,14200,271,17,23,1, Automatski, Srebrna, Nije registrovan,Domace tablice, Nije ostecen
11500,Nov motor,Scooter,2017,0,530,34,46,2, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
12300,Polovan motor,Touring,2002,87000,1832,87,118,6, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
2900,Polovan motor,Scooter,2006,6000,500,31,42,2, Automatski,, Registrovan,Domace tablice, Nije ostecen
3550,Polovan motor,Touring,2008,39000,599,74,101,4, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1399,Nov motor,Enduro / Cross,2017,0,125,10,14,1, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
