Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
7900,Polovan motor,Harley Davidson,Chopper / Cruiser,Super Low,2012,22812,883,39,53,2, Manuelni, Crna, 03.2017.,Domace tablice, Nije ostecen
550,Polovan motor,Sprint,Sport / Super sport,exactly,2009,8000,50,3,4,2, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Aprilia,Enduro / Cross,rx,1994,1,125,25,34,1, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Yamaha,Naked,Fzr,1994,30000,600,78,106,4, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
400,Polovan motor,Sprint,Enduro / Cross,Apolo,2003,3000,250,13,18,1, Manuelni, Crna, Nije registrovan,Domace tablice, ostecen - nije u voznom stanju
2000,Polovan motor,Aprilia,Scooter,SR50 Delovi sve imamo,2009,12000,49,2,3,1, Automatski,Zuta, 06.2017.,Domace tablice, Nije ostecen
250,Polovan motor,Tomos,Moped,Apn 4,1981,10000,50,4,5,1, Manuelni, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
649,Polovan motor,Keeway,Scooter,Matrix,2010,3800,125,6,8,1, Automatski,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
300,Polovan motor,Peugeot,Scooter,SpeedFight2,2000,10000,49,4,6,1, Automatski, Crna, Nije registrovan,Domace tablice, ostecen - u voznom stanju
1050,Polovan motor,Suzuki,Sport / Super sport,GSX 600F,1994,35000,597,63,86,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
950,Polovan motor,Yamaha,Scooter,majesty,2001,32000,250,15,20,1, Automatski,nepoznato, 08.2017.,Domace tablice, Nije ostecen
280,Polovan motor,Sprint,Moped,falkon,2008,20000,49,3,4,1, Automatski, Crvena, 10.2017.,Domace tablice, Nije ostecen
3600,Polovan motor,Yamaha,Sport / Super sport,YZF R6 A2,2004,33000,600,25,34,4, Manuelni, Plava, 06.2017.,Domace tablice, Nije ostecen
2550,Polovan motor,Yamaha,Sport / Super sport,R6,2001,65000,599,88,120,4, Manuelni, Crvena, 01.2018.,Domace tablice, Nije ostecen
1799,Polovan motor,Kawasaki,Sport / Super sport,GPZ 1100 abs uvozCH,1997,49000,1052,44,60,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
550,Polovan motor,Sachs,Enduro / Cross,X ROAD 125,2008,4500,125,10,14,1, Manuelni, Crvena, Nije registrovan,Domace tablice, ostecen - nije u voznom stanju
650,Polovan motor,Yamaha,Scooter,majestic 250,1997,39650,250,15,20,1, Manuelni, Bela, 06.2017.,Domace tablice, Nije ostecen
160,Polovan motor,Tomos,Chopper / Cruiser,apn 4,1980,111,49,1,1,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
279,Nov motor,Nitro,Sport / Super sport,Cross honda,2017,0,49,3,4,nepoznato, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2900,Polovan motor,KTM,Supermoto,640 SM,2005,42000,625,40,54,1, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
250,Polovan motor,Baotian,Scooter,BT 49T 12,2006,8969,49,2,3,nepoznato, Automatski,nepoznato, Nije registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Aprilia,Sport / Super sport,rs 125,2001,18000,125,11,15,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Honda,Naked,hornet,2001,50000,599,70,95,4, Manuelni, Crna, 04.2017.,Domace tablice, Nije ostecen
1500,Polovan motor,Aprilia,Scooter,Scarabeo 500,2005,10000,50,28,38,1, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
450,Polovan motor,Peda,Scooter,50QTC,2008,13625,49,3,4,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
850,Polovan motor,Honda,Scooter,panteon,2001,20000,150,15,20,2, Automatski, Plava, 01.2018.,Domace tablice, Nije ostecen
130,Polovan motor,Piaggio,Scooter,hexagon,1995,10,125,10,14,1, Automatski, Zelena, Nije registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Yamaha,Sport / Super sport,fzr,1995,46500,600,81,110,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
900,Polovan motor,Qingqi,Chopper / Cruiser,Vista,2005,9000,250,18,24,2, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
380,Polovan motor,Sprint,Scooter,Max 4T,2007,8500,49,2,3,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
5100,Polovan motor,Suzuki,Sport / Super sport,GSXR 1000 k6,2006,36000,1000,110,150,4, Manuelni, Plava, 07.2017.,Domace tablice, Nije ostecen
1490,Polovan motor,Kawasaki,Chopper / Cruiser,VN 1500 VULCAN,1995,56000,1500,54,73,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1350,Polovan motor,Honda,Sport / Super sport,CBR 600 F2,1995,82500,599,72,98,4, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
80,Polovan motor,Tomos,Moped,automatik a 35s,1988,15700,50,2,3,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
11855,Nov motor,Kawasaki,Naked,Z1000,2017,0,1043,104,142,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
2811,Nov motor,Vespa,Scooter,SPRINT 50 2T,2017,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
900,Polovan motor,Gilera,Scooter,Runner 180,2002,35000,180,14,19,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Yamaha,Enduro / Cross,tdm 850,1995,65000,850,29,39,2, Manuelni,Zuta, 06.2017.,Domace tablice, Nije ostecen
6790,Polovan motor,BMW,Naked,R 1200 R Akcija,2007,34889,1170,80,109,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
350,Polovan motor,Sky,Enduro / Cross,Cross,2009,3000,125,10,14,1, Manuelni, Crna, Trajno registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Keeway,Naked,Speed,2007,5925,150,9,12,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3900,Polovan motor,BMW,Enduro / Cross,F 650 GS,2005,19000,650,37,50,nepoznato, Manuelni,nepoznato, 07.2017.,Domace tablice, Nije ostecen
600,Polovan motor,Sprint,Scooter,MAXX,2011,5000,125,5,6,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
255,Polovan motor,Piaggio,Scooter,Zip,2002,5000,49,3,4,1, Automatski, Plava, Nije registrovan, Strane tablice, Nije ostecen
250,Polovan motor,Cagiva,Sport / Super sport,Mito 125,1991,1000,125,22,30,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1150,Polovan motor,Piaggio,Scooter,x8,2004,46000,200,14,19,4, Automatski, Crna, 05.2017.,Domace tablice, Nije ostecen
800,Polovan motor,Aprilia,Sport / Super sport,125 RS,1999,6000,125,14,19,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
2590,Polovan motor,Honda,Touring,Deauvile NT 650 V Akcija,2002,19266,647,41,56,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
750,Polovan motor,Suzuki,Sport / Super sport,gsx600f,1992,50000,599,63,86,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
2800,Polovan motor,Aprilia,Supermoto,mile rsv,2003,50000,1000,92,125,4, Manuelni, Siva, Nije registrovan,Domace tablice, Nije ostecen
1550,Polovan motor,Suzuki,Naked,Bandit Gsf 600N,1998,27000,600,58,79,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1950,Polovan motor,Honda,Sport / Super sport,Cbr,2000,36900,600,81,110,4, Manuelni, Crna, 04.2017.,Domace tablice, Nije ostecen
1900,Polovan motor,Honda,Sport / Super sport,cbr 600 f4,2000,42000,600,78,106,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
650,Polovan motor,Sprint,Scooter,Maxx,2014,4247,49,2,3,2, Automatski, Crvena, 08.2017.,Domace tablice, Nije ostecen
800,Polovan motor,Suzuki,Sport / Super sport,RG 125 F,1996,19493,125,11,15,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
2250,Polovan motor,Yamaha,Scooter,x max akrapovic,2010,6450,125,11,15,1, Automatski, Siva, 05.2017.,Domace tablice, Nije ostecen
1200,Polovan motor,Gilera,Oldtimer,oldtimer,1940,20000,200,111,151,1, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
5950,Nov motor,Piaggio,Scooter,BEVERLY SPORT 350 ABS/ASR,2016,0,330,25,33,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
3150,Nov motor,Piaggio,Scooter,MADLEY 125i.e. ABS,2016,0,125,9,12,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
1700,Polovan motor,Husqvarna,Enduro / Cross,TE 610,1995,12783,610,20,28,1, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
250,Polovan motor,Tomos,Moped,automatik,1991,1000,49,3,4,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
1470,Polovan motor,Yamaha,Sport / Super sport,tzr 50,2005,10000,50,5,7,1, Manuelni,Zuta, 05.2017.,Domace tablice, Nije ostecen
690,Polovan motor,Derbi,Enduro / Cross,Senda Limited Edition 50,2009,10000,49,4,5,1, Manuelni, Crna, Nije registrovan, Strane tablice, Nije ostecen
750,Polovan motor,Yamaha,Sport / Super sport,fz 750 genesis,1991,58000,750,74,101,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
850,Polovan motor,Yamaha,Sport / Super sport,Tzr,2004,4500,49,3,4,1, Manuelni, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
5300,Polovan motor,BMW,Enduro / Cross,R 850 R,2005,9000,850,52,71,2, Manuelni, Siva, 06.2017.,Domace tablice, Nije ostecen
1200,Polovan motor,Yamaha,Enduro / Cross,TW,2004,46000,125,9,12,1, Manuelni, Crvena, 12.2017.,Domace tablice, Nije ostecen
2500,Polovan motor,Peugeot,Scooter,JETFORCE Turbo,2007,16700,125,18,24,1, Automatski, Siva, Nije registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Honda,Scooter,SZX50S,2003,11318,50,4,5,nepoznato, Automatski, Crna, Trajno registrovan,Domace tablice, Nije ostecen
1300,Polovan motor,Aprilia,Scooter,atlantic,2005,56887,500,28,38,1, Automatski, Crna, Nije registrovan, Strane tablice, Nije ostecen
700,Polovan motor,Piaggio,Scooter,Hexagon,2001,28000,125,9,13,4, Automatski, Siva, 07.2017.,Domace tablice, Nije ostecen
200,Polovan motor,Tomos,Moped,APN 4,1978,1,49,1,1,1, Manuelni, Bela, Trajno registrovan,Domace tablice, Nije ostecen
350,Polovan motor,Piaggio,Scooter,49,2006,20512,49,2,3,2, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1199,Polovan motor,Malaguti,Scooter,Madison,2004,13850,250,16,22,1, Automatski, Siva, Nije registrovan, Na ime kupca, Nije ostecen
800,Polovan motor,Gilera,Scooter,Runner Hiper to pro,2004,28000,50,3,4,1, Automatski, Crvena, 07.2017.,Domace tablice, Nije ostecen
620,Polovan motor,Yamasaki,Enduro / Cross,SKY 110cc,2008,10897,107,9,12,1, Manuelni, Crna, 05.2017.,Domace tablice, Nije ostecen
400,Polovan motor,Piaggio,Scooter,Free,2000,25000,49,2,3,1, Automatski,Zuta, Trajno registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Suzuki,Sport / Super sport,gsx r750,1994,33000,750,84,114,nepoznato, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
5700,Polovan motor,Yamaha,Naked,FZ1n,2008,22310,999,110,150,4, Manuelni, Crna, 08.2017.,Domace tablice, Nije ostecen
600,Polovan motor,Piaggio,Scooter,Hexagon LTX 180 2T,1998,22500,180,16,22,1, Automatski, Plava, Nije registrovan,Domace tablice, Nije ostecen
650,Polovan motor,Derbi,Enduro / Cross,SENDA,2004,11500,49,3,4,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3850,Polovan motor,Honda,Touring,CBF 1000 ABS,2006,42170,1000,72,98,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
3200,Polovan motor,Honda,Sport / Super sport,cbr 600rr,2004,41000,600,115,156,4, Manuelni, Plava, 01.2018.,Domace tablice, Nije ostecen
1900,Polovan motor,Yamaha,Sport / Super sport,YZF600R R6,1996,30000,600,80,109,4, Manuelni, Crvena, Trajno registrovan, Na ime kupca, Nije ostecen
1850,Polovan motor,Suzuki,Sport / Super sport,gsxr,1997,55000,600,78,106,4, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
4000,Polovan motor,Suzuki,Naked,GSF 650 Bandit,2007,20700,656,63,85,4, Manuelni, Plava, 08.2017.,Domace tablice, Nije ostecen
1050,Polovan motor,Honda,Sport / Super sport,CBR 600 F,1991,53000,598,32,44,4, Manuelni, Plava, 04.2017.,Domace tablice, Nije ostecen
1200,Polovan motor,Husqvarna,Supermoto,t610,1999,123,610,56,76,1, Manuelni,Zuta, Nije registrovan,Domace tablice, ostecen - nije u voznom stanju
650,Polovan motor,Piaggio,Scooter,Liberty najjeftiniji,2006,18000,125,7,10,1, Automatski, Bela, 06.2017.,Domace tablice, Nije ostecen
700,Polovan motor,Aprilia,Scooter,Scarabeo,2002,22810,49,3,3,1, Automatski, Siva, 07.2017.,Domace tablice, Nije ostecen
1200,Polovan motor,Sym,Scooter,GTS 250,2009,16000,250,16,22,1, Automatski, Siva, 04.2017.,Domace tablice, Nije ostecen
650,Polovan motor,Yamaha,Enduro / Cross,DT 125 LC,1985,20000,125,18,24,1, Manuelni, Plava, Nije registrovan, Strane tablice, Nije ostecen
1600,Polovan motor,Yamaha,Enduro / Cross,REZERVISANO,1998,40000,600,25,34,nepoznato, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
900,Polovan motor,Aprilia,Sport / Super sport,AF1,1995,15500,125,16,22,1, Manuelni, Crvena, 06.2017.,Domace tablice, Nije ostecen
4000,Polovan motor,Ducati,Touring,multistrada 1000ds,2003,52000,100,62,84,2, Manuelni, Crvena, 03.2017.,Domace tablice, Nije ostecen
200,Polovan motor,Tomos,Moped,Apn 4,1975,10000,50,4,5,1, Manuelni, Zelena, Trajno registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Peda,Scooter,GP,2014,8000,125,25,34,nepoznato, Automatski, Bela, Nije registrovan,Domace tablice, Nije ostecen
9390,Nov motor,Yamaha,Naked,MT 09 ABS/ASR NOVO,2017,0,847,85,116,3, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
1290,Polovan motor,Piaggio,Scooter,Beverly 200,2003,18000,200,14,19,1, Automatski, Bela, 04.2017.,Domace tablice, Nije ostecen
2000,Polovan motor,Honda,Oldtimer,CB900F Boldor,1980,33506,900,70,95,4, Manuelni, Bordo, Nije registrovan,Domace tablice, Nije ostecen
2800,Polovan motor,Yamaha,Naked,XJR 1200,1995,32000,1188,72,98,4, Manuelni, Bordo, 11.2017.,Domace tablice, Nije ostecen
1400,Polovan motor,Honda,Sport / Super sport,cbr 600 f2,1991,1111,599,72,98,4, Manuelni, Crna, 05.2017.,Domace tablice, Nije ostecen
1250,Polovan motor,Yamaha,Naked,XJ600,1992,50000,600,50,68,4, Manuelni, Crvena, 07.2017.,Domace tablice, Nije ostecen
1100,Polovan motor,Yamaha,Scooter,Majestic,2003,45000,176,11,15,1, Automatski, Siva, Nije registrovan, Na ime kupca, Nije ostecen
2829,Polovan motor,Yamaha,Touring,Fazer 6 S,2005,52500,600,72,98,4, Manuelni, Siva, 06.2017.,Domace tablice, Nije ostecen
600,Polovan motor,Geely,Scooter,JL150T 2,2008,9000,150,7,9,1, Automatski, Zlatna, 12.2016.,Domace tablice, Nije ostecen
500,Polovan motor,Cagiva,Chopper / Cruiser,roadster,1993,9500,125,12,16,nepoznato, Manuelni, Siva, Nije registrovan, Strane tablice, Nije ostecen
400,Polovan motor,Kymco,Scooter,Bet win,2002,45000,250,15,20,nepoznato, Automatski, Siva, 06.2017.,Domace tablice, Nije ostecen
3500,Polovan motor,Ducati,Naked,monster 600,2002,22001,600,37,50,2, Manuelni, Crna, 07.2016.,Domace tablice, Nije ostecen
2000,Polovan motor,Yamaha,Chopper / Cruiser,Virago 535XV,1995,47700,535,34,46,2, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
2500,Polovan motor,Yamaha,Chopper / Cruiser,Virago,2000,28000,535,34,46,2, Manuelni, Braon, Nije registrovan,Domace tablice, Nije ostecen
1100,Polovan motor,Aprilia,Chopper / Cruiser,Classic,1997,15875,125,11,15,1, Manuelni, Teget, Nije registrovan,Domace tablice, Nije ostecen
5500,Polovan motor,Kawasaki,Chopper / Cruiser,Vulcan 900 custom,2008,11500,900,36,49,2, Manuelni, Zelena, 05.2017.,Domace tablice, Nije ostecen
550,Polovan motor,NSU,Oldtimer,Pretis,1964,30000,174,9,12,1, Manuelni,nepoznato, Nije registrovan,Domace tablice, Nije ostecen
1599,Polovan motor,Kawasaki,Combination / Sidecar,er 5,2003,22000,500,35,48,4, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
5500,Polovan motor,Honda,Chopper / Cruiser,Shadow 750cm3,2008,5401,750,34,46,2, Manuelni, Crvena, 10.2017.,Domace tablice, Nije ostecen
950,Polovan motor,Aprilia,Chopper / Cruiser,Red Rose,1992,18000,125,8,11,1, Manuelni, Plava, 07.2017.,Domace tablice, Nije ostecen
700,Polovan motor,Sprint,Supermoto,Track,2011,2700,125,9,12,1, Manuelni, Srebrna, Nije registrovan,Domace tablice, Nije ostecen
4500,Polovan motor,Yamaha,Sport / Super sport,R1,2004,7500,998,126,171,4, Manuelni, Crvena, 04.2017.,Domace tablice, Nije ostecen
2200,Polovan motor,Yamaha,Scooter,T MAX,2001,44000,499,29,39,2, Automatski, Plava, 03.2017.,Domace tablice, Nije ostecen
1200,Polovan motor,Yamaha,Enduro / Cross,DT,1993,20000,125,10,14,1, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
410,Polovan motor,Baotian,Scooter,Rocky 49,2009,10500,49,2,3,1, Automatski, Crna, 10.2017.,Domace tablice, Nije ostecen
150,Polovan motor,Tomos,Moped,14m,1985,1111,49,3,4,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
1150,Polovan motor,Suzuki,Scooter,Burgman,2002,24000,400,28,38,2, Automatski, Siva, 08.2017.,Domace tablice, Nije ostecen
1200,Polovan motor,Aprilia,Sport / Super sport,rs 125,1994,20000,125,23,31,1, Manuelni, Crna, 08.2017.,Domace tablice, Nije ostecen
3650,Polovan motor,Kawasaki,Naked,z1000,2003,42500,1000,93,126,4, Manuelni, Zelena, 04.2017.,Domace tablice, Nije ostecen
1699,Polovan motor,Honda,Sport / Super sport,CBR F2,1994,38783,600,74,101,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
600,Polovan motor,Honda,Scooter,Phanteon 150,1999,25468,150,12,16,2, Automatski, Zelena, Nije registrovan,Domace tablice, Nije ostecen
400,Polovan motor,Orion,Scooter,Lotus,2010,5000,50,3,4,1, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
5200,Polovan motor,Yamaha,Sport / Super sport,R1,2006,26305,998,128,174,4, Manuelni, Siva, 06.2017.,Domace tablice, Nije ostecen
100,Polovan motor,Yamaha,Scooter,Cygnus,1999,21452,125,7,10,1, Automatski, Plava, Nije registrovan, Na ime kupca, Nije ostecen
8480,Polovan motor,Yamaha,Scooter,T max 530 IRON max,2015,8000,530,34,46,2, Automatski, Crna, 06.2017.,Domace tablice, Nije ostecen
1650,Polovan motor,Honda,Sport / Super sport,CBR600F2,1992,20000,600,74,100,4, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
550,Polovan motor,Vespa,Scooter,LML T5,1990,13220,150,6,8,1, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
15800,Polovan motor,BMW,Touring,K1600 GT,2013,39000,1600,118,160,6, Manuelni, Bela, 01.2018.,Domace tablice, Nije ostecen
28000,Polovan motor,Ducati,Sport / Super sport,Panigale 1199R,2013,1500,1199,135,184,2, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
1750,Polovan motor,Aprilia,Scooter,Scarabeo 400ie,2007,35000,399,23,31,1, Automatski, Siva, Nije registrovan, Na ime kupca, Nije ostecen
13810,Polovan motor,BMW,Naked,R nine T Scrambler,2017,1,1170,81,110,2, Manuelni, Siva, Nije registrovan,Domace tablice, Nije ostecen
6700,Polovan motor,Suzuki,Sport / Super sport,GSXR600,2009,20000,599,92,125,4, Manuelni, Crna, 11.2017.,Domace tablice, Nije ostecen
3400,Polovan motor,Beta,Enduro / Cross,350 RR Factory,2012,1,350,37,50,1, Manuelni, Crvena, Nije registrovan, Strane tablice, Nije ostecen
400,Polovan motor,Yamasaki,Scooter,Clasic,2008,7661,150,6,7,nepoznato, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
5000,Polovan motor,BMW,Oldtimer,R 45 Oldtajmer,1979,57400,500,26,35,2, Manuelni, Bela, 12.2017.,Domace tablice, Nije ostecen
850,Polovan motor,Yamaha,Sport / Super sport,FZR 1000,1990,33258,1000,95,129,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
8500,Polovan motor,Suzuki,Chopper / Cruiser,intruder 1800,2007,25894,1800,125,170,4, Manuelni, Bela, 05.2017.,Domace tablice, Nije ostecen
5550,Polovan motor,Honda,Chopper / Cruiser,VTX1300C,2006,25395,1312,55,75,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
4450,Polovan motor,Suzuki,Chopper / Cruiser,boulevard 800 /intruder/,2006,3753,805,39,53,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
3280,Polovan motor,Yamaha,Scooter,Xmax 250 xmax250,2010,13000,249,15,21,1, Automatski, Crna, 05.2017.,Domace tablice, Nije ostecen
6990,Polovan motor,Yamaha,Scooter,t max fullllllll,2008,15300,500,36,49,2, Automatski, Siva, 06.2017.,Domace tablice, Nije ostecen
15690,Polovan motor,BMW,Naked,R nine T,2017,1,1170,81,110,2, Manuelni, Srebrna, Nije registrovan,Domace tablice, Nije ostecen
12290,Polovan motor,BMW,Scooter,C 650 Sport,2017,1,647,44,60,2, Automatski, Narandžasta, Nije registrovan,Domace tablice, Nije ostecen
7999,Polovan motor,Yamaha,Scooter,Tmax,2012,6400,530,34,46,2, Automatski, Crna, 06.2017.,Domace tablice, Nije ostecen
300,Polovan motor,Jonway,Scooter,Skuter,2006,9200,50,3,3,1, Automatski, Zlatna, Trajno registrovan,Domace tablice, Nije ostecen
750,Polovan motor,Honda,Scooter,Pantheon,2000,14000,150,11,15,nepoznato, Automatski, Bela, Nije registrovan,Domace tablice, Nije ostecen
8480,Polovan motor,Yamaha,Scooter,T max 530 IRON max,2015,8000,530,34,46,2, Automatski, Crna, 06.2017.,Domace tablice, Nije ostecen
3150,Nov motor,Piaggio,Scooter,MADLEY 125i.e. ABS,2016,0,125,9,12,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
50,Polovan motor,Aprilia,Scooter,gulliver,1997,11111,49,54,557,nepoznato, Automatski, Plava, Nije registrovan, Strane tablice, Nije ostecen
1750,Polovan motor,Piaggio,Scooter,beverly 500,2003,40000,500,29,39,1, Automatski, Bordo, 01.2018.,Domace tablice, Nije ostecen
2700,Polovan motor,Honda,Enduro / Cross,xrv Africa Twin rd07,1996,57000,750,44,60,2, Manuelni, Crvena, 08.2017.,Domace tablice, Nije ostecen
3000,Polovan motor,Gilera,Scooter,nexus 500,2005,40000,495,29,39,1, Automatski, Plava, Nije registrovan,Domace tablice, Nije ostecen
250,Polovan motor,Sprint,Scooter,Sport,2006,7550,50,1,1,1, Automatski, Crna, Trajno registrovan,Domace tablice, Nije ostecen
1600,Polovan motor,Yamaha,Enduro / Cross,xt 600 3tb,1993,20000,600,33,45,1, Manuelni, Zelena, Nije registrovan,Domace tablice, Nije ostecen
200,Polovan motor,Piaggio,Scooter,Free,2003,10000,50,5,7,1, Automatski, Bela, Nije registrovan,Domace tablice, ostecen - nije u voznom stanju
9999,Polovan motor,Kawasaki,Touring,Z1000sx abs,2011,15000,1043,102,139,2, Manuelni, Crna, 05.2017.,Domace tablice, Nije ostecen
7000,Polovan motor,Yamaha,Scooter,T max XP 530,2013,27000,530,34,46,2, Automatski, Siva, 07.2017.,Domace tablice, Nije ostecen
700,Polovan motor,Kymco,Scooter,GRAND DYNK,2008,22000,125,11,15,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
800,Polovan motor,Yamaha,Enduro / Cross,yz 125,1991,111,125,31,42,1, Manuelni, Plava, Nije registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Honda,Sport / Super sport,CBR600F F3,1997,20000,598,81,110,4, Manuelni, Crvena, 09.2017.,Domace tablice, Nije ostecen
3400,Polovan motor,Suzuki,Sport / Super sport,GSXR K4,2004,38000,1000,121,165,4, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
1450,Polovan motor,Suzuki,Sport / Super sport,rf900r,1995,47000,900,99,135,4, Manuelni, Crvena, 04.2017.,Domace tablice, Nije ostecen
800,Polovan motor,Aprilia,Scooter,rally,1996,38000,49,3,4,1, Automatski, Siva, 06.2017.,Domace tablice, Nije ostecen
900,Polovan motor,Yamaha,Scooter,majesty,1996,54000,250,15,20,1, Automatski, Crvena, 01.2018.,Domace tablice, Nije ostecen
490,Polovan motor,Sprint,Scooter,explorer,2009,8431,150,7,10,nepoznato, Automatski, Siva, 05.2017.,Domace tablice, Nije ostecen
899,Polovan motor,Gilera,Sport / Super sport,MXR 125,1993,32000,125,19,26,2, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
680,Polovan motor,Sprint,Scooter,LETKE JONDAI MINELI,2008,2823,49,2,3,nepoznato, Automatski, Crvena, Trajno registrovan,Domace tablice, Nije ostecen
1850,Polovan motor,Suzuki,Sport / Super sport,Tl 1000 S,1997,40000,1000,92,125,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
8480,Polovan motor,Yamaha,Scooter,T max 530 IRON max,2015,8000,530,34,46,2, Automatski, Crna, 06.2017.,Domace tablice, Nije ostecen
1590,Polovan motor,Aprilia,Scooter,SR NOV,2012,17000,49,4,5,1, Automatski, Bela, 05.2017.,Domace tablice, Nije ostecen
350,Polovan motor,Tomos,Naked,romet chart,1990,2628,50,4,5,1, Manuelni, Bela, Trajno registrovan,Domace tablice, Nije ostecen
150,Polovan motor,Tomos,Moped,apn4,1971,111,49,49,67,1, Manuelni, Narandžasta, Trajno registrovan,Domace tablice, Nije ostecen
1400,Polovan motor,Yamaha,Sport / Super sport,genesis 750,1994,38794,750,37,50,4, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
2480,Polovan motor,Honda,Touring,douville,1999,76000,650,37,50,nepoznato, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
680,Polovan motor,Kymco,Scooter,Yup 50,2003,12828,49,3,4,1, Automatski, Siva, 05.2017.,Domace tablice, Nije ostecen
330,Polovan motor,Qingqi,Scooter,qm50,2007,15000,49,3,4,1, Automatski, Crna, Trajno registrovan,Domace tablice, Nije ostecen
