Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
3490,Polovan motor,Suzuki,Enduro / Cross,DL 1000 V STROM FI,2003,37000,1000,72,98,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
3790,Polovan motor,Honda,Sport / Super sport,CBR 954 FI,2003,31000,900,110,150,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
2999,Polovan motor,Yamaha,Sport / Super sport,R6,2002,35000,600,88,120,4, Manuelni, Crvena, 04.2017.,Domace tablice, Nije ostecen
15800,Polovan motor,BMW,Touring,K1600 GT,2013,39000,1600,118,160,6, Manuelni, Bela, 01.2018.,Domace tablice, Nije ostecen
600,Nov motor,Yamaha,Enduro / Cross,REPLICA 125cc 4takt,2017,0,200,17,23,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
3900,Polovan motor,Suzuki,Moped,K 5,2005,24000,750,117,159,1, Manuelni, Crna, 05.2017.,Domace tablice, Nije ostecen
1750,Polovan motor,Yamaha,Enduro / Cross,TTR 250,1998,28753,250,24,32,1, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
3350,Polovan motor,Yamaha,Enduro / Cross,WR450 F,2009,650,450,45,61,1, Manuelni, Plava, Nije registrovan, Strane tablice, Nije ostecen
6900,Polovan motor,Suzuki,Touring,V STROM 650,2011,8900,650,50,68,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
15800,Polovan motor,BMW,Touring,K1600 GT,2013,39000,1600,118,160,6, Manuelni, Bela, 01.2018.,Domace tablice, Nije ostecen
3950,Polovan motor,Honda,Naked,CB 900 HORNET,2003,25000,919,80,109,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
2299,Nov motor,Vespa,Scooter,Primavera 50 2T,2014,0,49,4,5,1, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
3400,Polovan motor,Honda,Touring,ST1100 pan european ABS,1996,77000,1085,72,98,4, Manuelni, Bordo, 04.2017.,Domace tablice, Nije ostecen
1950,Polovan motor,Yamaha,Scooter,t Max,2002,40000,498,33,45,2, Automatski, Srebrna, Nije registrovan, Na ime kupca, Nije ostecen
1450,Polovan motor,Piaggio,Scooter,beverly 250 ie,2006,34000,244,15,20,1, Automatski, Srebrna, 09.2017.,Domace tablice, Nije ostecen
7900,Polovan motor,Honda,Touring,VFR 1200 F,2010,40626,1237,127,173,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
3400,Polovan motor,Kawasaki,Touring,ER 6F,2007,26800,649,53,72,2, Manuelni, Crna, 06.2017.,Domace tablice, Nije ostecen
4700,Polovan motor,Yamaha,Touring,FJR 1300,2004,63000,1300,106,143,4, Manuelni, Crna, 04.2017., Strane tablice, Nije ostecen
1790,Nov motor,Peugeot,Scooter,Vivacity NEW,2016,0,49,3,4,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
2220,Nov motor,Peugeot,Scooter,Speedfight NEW,2016,0,49,4,5,1, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
1540,Nov motor,Peugeot,Scooter,Kisbee NEW,2016,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
1540,Nov motor,Peugeot,Scooter,Kisbee NEW,2016,0,49,3,4,1, Automatski, Braon, Nije registrovan, Na ime kupca, Nije ostecen
2800,Polovan motor,Kawasaki,Naked,zr7,2001,33000,750,56,76,4, Manuelni, Bela, 11.2017.,Domace tablice, Nije ostecen
8940,Nov motor,Ducati,Naked,Scrambler Sixty 2,2017,0,399,30,41,2, Manuelni, Narandžasta, Nije registrovan, Na ime kupca, Nije ostecen
